country,continent,1616,1666,1685,1710,1716,1735,1760,1766,1775,1780,1785,1791,1800,1810,1815,1825,1835,1840,1845,1855,1860,1865,1866,1870,1875,1879,1880,1885,1887,1890,1895,1897,1900,1901,1903,1905,1906,1907,1910,1911,1915,1920,1921,1925,1928,1930,1931,1935,1937,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Afghanistan,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.83968322,,,,,,,,,,,,,,,,,,,,,,,,,,17.83968322
Albania,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52,,,,,,,,,21,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,22.47,,,,,,,,,,,,,,,,23.32650948
Algeria,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,19.6,,,,,,,,,,,,18,,,,19.3,,,,,,,20.9,,,,,,,,,,23.8,,,,,25.5,,,,,,27.6,,,,,,,29.6
Angola,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.38656795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.10861869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.26396179
Armenia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.98603439
Australia,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,24.4,,24.5,,24.501,,24.5,,,24.2,,,,,23.3,,,,,22.6,,,,,22.1,,,,,21.6,,,,,21.2,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.93125534
Austria,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,25.3,,,,,,,,,,24.01,,,,,,,,,,22.88,,,,,,,,,,23.15,,,,,,,,,,24.9,,,,,,,,,,,,,,,28.93756866
Azerbaijan,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88630676
Bahamas,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.44608092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.19277191
Bahrain,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.90460396
Bangladesh,Asia,,,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,13.7,,,,,,,,,,14.4,,,,,,,,,,13.9,,,,14.8,,,,,,,,,16.6,16.4,,,,,16.4,,17.7,,,,,,,,,,,,,,,,,,,,,,,18.66999817
Barbados,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.51708075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7680397
Belarus,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.77720261
Belgium,Europe,,,,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.32,,,,,,22.84,,,,,,,,,,22.35,,,,,,,,,,22.24,,,,,,,,,23.61,,,,,,,,,,,,,,,,30.34197617
Belize,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.61783901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17763329
Benin,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.70918367,,,,,,,,,,,,,,,,,,,,,,,,,,20.33333206
Bhutan,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.08592987
Bolivia,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.12855108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.59545898
Botswana,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.93084036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.11158562
Brazil,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96276854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.09729576
Brunei,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,19.7,,,,,,,,,,,22.3957251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.14610291
Bulgaria,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.32,,,,,,,,,,21.44,,,,,,,,,,,,,,,,,,,21.31,,,,,,,,,,,,,,,,24.15979195
Burkina Faso,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.41085607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3993969
Burundi,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.46302795
Cambodia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.26777264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.30000114
Cameroon,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.80320044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1510601
Canada,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,23,,23.2,,23.8,,24.1,,,23.9,,,,,23.3,,,,,22.5,,,,,22.2,,,,,21.8,,,,,21.5,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75705528
Cape Verde,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.60819365,,,,,,,,,,,,,,,,,,,,,,,,,25.68690109
Central African rep.,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.37266875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.40876579
Chad,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46291405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.34000015
Chile,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42466776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.37175751
China,Asia,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.65,,,,,18.21,18.21,18.34,18.41,18.46,18.6,18.69,18.53,18.59,18.57,18.68,,,,,19.07,,,,,19.57,,,,,19.74,,,,,20.19,,,,,21.74,,,,23.12,,22.82,22.62,,,,,,,,,,,,,,,,,,,,,,,23.31162262
Colombia,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.49197421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00436401
Comoros,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.76864075,,,,,,,,,,,,,,,,,,,,,,,,,23.61499977
"Congo, Dem. Rep.",Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.02353804,,,,,,,,,,,,,,20.02353804,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.57260234,,,,,,,,,,,,,,22.57260234,,,,,,,,,,,,,,,,,,,,,
Costa Rica,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.72644929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.39002419
Cote d'Ivoire,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72386799,,,,,,,,18.72386799,,,,,,,,,,,,,,,,,,,,,22.00292991,,,,,,22.00292991
Croatia,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23072433
Cuba,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.47841521,,,,,,,,,,,,,,,22.16520651,,,,,,,,,,,,,,,,,,,,
Cyprus,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.18047197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.21969414
Czech rep.,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38,,,,,,,,,,,,,,,21.98,,,,,,,,,,21.72,,,,,,,,,,,,,,,,,,,21.79,,,,,,,,,,,,,,,,27.62324715
Denmark,Europe,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.09,,,,,,,,,,,,,,,22.75,,,,,,,23.75,,,,,,,,26.23,,,,26.94,,,,,,,,,,,,,,,,30.8473587
Dominican rep.,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.57931366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.47467804
Ecuador,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24132282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.55466843
Egypt,Africa,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,21.38652743,,,,,,,,,,,,,,,,,,,,,,,,22.70558548,,,,,23.63006955
El Salvador,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.04285235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.28621101
Equatorial Guinea,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.69149968,,,,,,,,,,,,,21.69149968,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55499649
Estonia,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58296585
Ethiopia,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,20.5055027
Fiji,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.73314302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89528847
Finland,Europe,,,,,,,,,24,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,25.76,,,,,,,,,,,,,,,,30.53718948
France,Europe,,,,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.56,24.23,,23.77,,23.32,,,,,,,,,,,,,,,,,,,,22.61,,,,,,,,,,22.97,,,,,,,,,,25.52,,,,,,,,,,,,,,,30.96426582
French Guiana,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.43156842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.69898033
French Polynesia,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.83075973,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.86706924
Gabon,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66086096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.10285187
Gambia,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.64669609
Georgia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17021277,,,,,,,,,,,,,,,,,,,,,,,,,,22.46738815
Germany,Europe,,,,,,,,,,,,,26.83753805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.925,,,,,,,,,,,,,,,,,,,,,22.115,,,,,,,,,,,,,24.31,,,,,,,,,,,,,,,,,30.12885094
Ghana,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.40703518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.44979858
